地点,名字,价格,评价,是否有押金
"30.679688,104.094466",柠庭·荼蘼/太古里/宽窄巷子/锦里/地铁站,¥438起/晚,- 2条点评,免押金：小猪在线担保、无需支付押金
"30.673863,104.076976",灵栖市中心宽窄巷子/锦里/春熙/文殊/近地铁,¥235起/晚,- 5分/20条点评,免押金：小猪在线担保、无需支付押金
"30.624991,104.16165",含早/成都东站2号地铁-肯派之家13-101,¥238,- 4.7分/35条点评,免押金：小猪在线担保、无需支付押金
"30.655046,104.065962",新上线优惠❗️超大投影｜华西锦里｜耍都美食,¥258起/晚,- 5分/31条点评,免押金：小猪在线担保、无需支付押金
"30.516248,103.629889",安寓-无觅,¥380,- 0条点评,免押金：小猪在线担保、无需支付押金
"30.643061,104.117902",凉凉家/春熙路/太古里/万象城/地铁清新房,¥228起/晚,- 4.9分/117条点评,免押金：小猪在线担保、无需支付押金
"30.579299,104.015029",〖酉迦·素地〗【双层复式楼公寓】机场十分钟,¥188起/晚,- 1条点评,免押金：小猪在线担保、无需支付押金
"30.635915,104.002964",【诺丁山居】石隐@24小时管家服务武侯祠锦里,¥420,- 0条点评,免押金：小猪在线担保、无需支付押金
"30.678281,104.075323",【云漫】舒适大床房/春熙路宽窄巷旁文殊院地铁,¥178起/晚,- 5分/6条点评,免押金：小猪在线担保、无需支付押金
"30.675108,104.101285",小清新大床房/春熙路/电视塔/红星桥地铁,¥185起/晚,- 4.9分/27条点评,免押金：小猪在线担保、无需支付押金
"30.696006,104.106936",直达太古里/春熙路/锦里/玲珑大床房,¥148起/晚,- 0条点评,免押金：小猪在线担保、无需支付押金
"30.632473,104.162027",画途美宿|S5火车东站巨幕投影凯德广场地铁旁,¥198起/晚,- 5分/11条点评,免押金：小猪在线担保、无需支付押金
"30.683375,104.05928",限时特价&宽窄巷&人民公园&中医附院一居,¥188起/晚,- 5分/130条点评,免押金：小猪在线担保、无需支付押金
"30.674782,104.122242",春熙路/建设路/东郊记忆港式舒享两居,¥368起/晚,- 5分/31条点评,免押金：小猪在线担保、无需支付押金
"30.668697,104.063455",宽窄巷子/春熙路太古里/怀旧两居地铁口麻将房,¥199起/晚,- 4.9分/88条点评,免押金：小猪在线担保、无需支付押金
"30.630485,104.077968",地铁口/美领馆/川大/保利中心/春熙路,¥328起/晚,- 5分/24条点评,免押金：小猪在线担保、无需支付押金
"30.658098,104.077308",「星光动物园」一居室/步行至春熙路/地铁口,¥288起/晚,- 5分/4条点评,免押金：小猪在线担保、无需支付押金
"30.631976,104.109701",凉凉家/春熙路/太古里/龙舟路万达广场双卧,¥258起/晚,- 4.8分/143条点评,免押金：小猪在线担保、无需支付押金
"30.657767,104.091544",【洛丽塔】美拍网红/泡泡池网红/太古里/春熙,¥208起/晚,- 5分/36条点评,免押金：小猪在线担保、无需支付押金
"30.617534,104.067862",桐梓林地铁口/美领馆/玉林/ins风一居,¥258起/晚,- 4.8分/25条点评,免押金：小猪在线担保、无需支付押金
"30.659003,104.076277",【白鹿】春熙路武侯祠/九眼桥/宽窄巷子套一,¥159起/晚,- 5分/19条点评,免押金：小猪在线担保、无需支付押金
"30.628613,104.084068",科华北路两居整租黑板墙小清新/川大美食区,¥288起/晚,- 5分/131条点评,免押金：小猪在线担保、无需支付押金
"30.984534,103.63284",都江堰景区.复古ins风.浪漫小屋,¥258起/晚,- 5分/24条点评,免押金：小猪在线担保、无需支付押金
"30.979575,103.638054",都江堰景区.阳光明媚.完美空间.墨绿书屋,¥368起/晚,- 4.9分/70条点评,免押金：小猪在线担保、无需支付押金
"30.658159,104.077202",［可可甜心］步行至春熙路/太古里 近地铁口,¥388起/晚,- 4.7分/31条点评,免押金：小猪在线担保、无需支付押金
"30.65503,104.065971",近市中心‖锦里‖宽窄巷子‖交通便利♡日式樱花,¥168起/晚,- 5分/5条点评,免押金：小猪在线担保、无需支付押金
"30.692025,104.091732",春熙路太古里宽窄巷子北欧.杜夫公寓913,¥178起/晚,- 5分/5条点评,免押金：小猪在线担保、无需支付押金
"30.639924,104.008721",武侯祠/武侯大道双楠/地铁直达机场/精致两居,¥198起/晚,- 5分/10条点评,免押金：小猪在线担保、无需支付押金
"30.651281,104.017303",临杜甫草堂武侯祠锦里鹭岛国际家庭套房短租,¥248起/晚,- 4.9分/73条点评,免押金：小猪在线担保、无需支付押金
"30.672406,104.080107",觅光 双地铁春熙路太古里宽窄巷子的设计师公寓,¥228起/晚,- 2条点评,免押金：小猪在线担保、无需支付押金
"30.670943,104.055048",（晓歇）宽窄巷子 春熙路 双地铁 日式电梯房,¥218起/晚,- 4.8分/28条点评,免押金：小猪在线担保、无需支付押金
"30.685626,104.055776",宽窄巷子·杜甫草堂·春熙路·锦里温馨雅居,¥198起/晚,- 3条点评,免押金：小猪在线担保、无需支付押金
"30.671456,104.055004",步行就到宽窄巷/紫色百合时尚套房/楼下地铁口,¥208起/晚,- 4.8分/25条点评,免押金：小猪在线担保、无需支付押金
"30.673519,104.076538",轻复古 春熙路 太古里 宽窄巷地铁 超大窗台,¥169起/晚,- 1条点评,免押金：小猪在线担保、无需支付押金
"30.972409,103.631861",【安逸】南桥/都江堰/青城山/双床（山景房）,¥228,- 4.8分/42条点评,免押金：小猪在线担保、无需支付押金
"30.673724,104.055645",宽窄巷子/天府广场【尤物】时尚波普风两居室,¥258起/晚,- 0条点评,免押金：小猪在线担保、无需支付押金
"30.674637,104.058222",春熙路、宽窄巷子地铁口温馨简约复式大床房,¥268起/晚,- 5分/42条点评,免押金：小猪在线担保、无需支付押金
"30.66097,104.073843",天府广场地铁口/春熙路太古里IFS/时尚二居,¥255起/晚,- 4.8分/16条点评,免押金：小猪在线担保、无需支付押金
"30.651639,104.117383",春熙路万象城/东二环/双桥路地铁口/两居,¥298起/晚,- 5分/32条点评,免押金：小猪在线担保、无需支付押金
"30.659434,104.008376",近杜甫草堂—非宿•艺舍大床房肆舍,¥188起/晚,- 3条点评,免押金：小猪在线担保、无需支付押金
"30.971945,103.631875",（熊猫）南桥/都江堰/青城山/双居（山景房）,¥269起/晚,- 4.9分/30条点评,免押金：小猪在线担保、无需支付押金
"30.635915,104.002964",【诺丁山居】寻篱@24小时管家服务武侯祠锦里,¥420,- 0条点评,免押金：小猪在线担保、无需支付押金
"30.644094,104.061112",凤仪亭】华西锦里/地铁/高清投影/套二整租,¥299起/晚,- 4.9分/12条点评,免押金：小猪在线担保、无需支付押金
"30.669566,104.0761",成都中心豪华套房实拍【城心】太古里春熙路宽窄,¥588起/晚,- 5分/8条点评,免押金：小猪在线担保、无需支付押金
"30.630951,104.10918",万达川大川音九眼桥一居  精品生活星级享受,¥218起/晚,- 4.9分/137条点评,免押金：小猪在线担保、无需支付押金
"30.998771,103.657157",都江堰景区.高清投影.静怡舒适.双大床套房,¥318起/晚,- 5分/14条点评,免押金：小猪在线担保、无需支付押金
"30.648444,104.099712",市中心/九眼桥/春熙路/武侯/豪华温馨套二。,¥298起/晚,- 4.8分/18条点评,免押金：小猪在线担保、无需支付押金
"30.997151,103.635243",都江堰古城区.帐篷吊床.超大投影.亲子特色房,¥333起/晚,- 4.9分/37条点评,免押金：小猪在线担保、无需支付押金
